,year,SST
1,1975,1.322626047
2,1976,1.27079549
3,1977,1.613609308
4,1978,1.901925213
5,1979,2.507500547
6,1980,2.018828998
7,1981,2.128682535
8,1982,2.620031928
9,1983,2.257835272
10,1984,1.985157435
11,1985,2.491527746
12,1986,2.216548661
13,1987,2.595387582
14,1988,2.064362454
15,1989,2.227270395
16,1990,1.992082138
17,1991,2.107720199
18,1992,1.966015177
19,1993,2.284812264
20,1994,2.192375025
21,1995,2.12100473
22,1996,2.812573781
23,1997,2.377678371
24,1998,2.481663719
25,1999,2.009477512
26,2000,2.122793421
27,2001,2.67524113
28,2002,2.325335276
29,2003,2.724875027
30,2004,2.517280887
31,2005,2.720586323
32,2006,2.421559128
33,2007,2.048211847
34,2008,1.641119776
35,2009,2.016506808
36,2010,1.719142789
37,2011,2.389195097
38,2012,1.393504715
39,2013,1.862050742
40,2014,2.355586316
41,2015,2.875722311
42,2016,2.659048664
43,2017,2.49063863
44,2018,3.153651189
45,2019,3.125314356
46,2020,2.522176285
